New York,20875,+5085,157,+43,20610
New Jersey,2844,+930,27,+7,2817
Washington,2221,+225,110,+15,1987
California,2133,+378,40,+6,2087
Michigan,1328,+293,15,+6,1313
Illinois,1285,+236,12,+3,1271
Florida,1227,+220,18,+5,1209
Louisiana,1172,+335,35,+15,1137
Texas,806,+208,9,+3,786
Georgia,803,+203,26,+3,777
Massachusetts,777,+131,9,+4,767
Colorado,720,+129,7,+1,713
Pennsylvania,644,+165,6,+3,638
Tennessee,615,+110,2,,613
Ohio,442,+91,6,+3,436
Wisconsin,416,+35,5,+1,410
Connecticut,415,+192,10,+5,405
North Carolina,410,+139,,,410
South Carolina,299,+104,5,+2,294
Maryland,288,+44,3,,281
Indiana,259,+58,7,+1,252
Utah,257,+76,1,,256
Virginia,254,+35,7,+4,246
Mississippi,249,+42,1,,248
Nevada,245,+55,4,+2,241
Minnesota,235,+66,1,,210
Arizona,234,+82,2,,231
Arkansas,197,+32,,,197
Missouri,196,+106,5,+2,191
Alabama,196,+39,,,196
Oregon,191,+30,5,+1,186
District of Columbia,137,+39,2,,135
Kentucky,124,+21,4,+1,118
Maine,107,+18,,,104
Rhode Island,106,+23,,,106
Iowa,105,+15,,,105
New Hampshire,101,+23,1,+1,100
New Mexico,83,+18,,,83
Kansas,82,+18,2,,80
Oklahoma,81,+14,2,,78
Hawaii,77,+21,,,77
Vermont,75,+23,5,+3,70
Delaware,68,+12,,,68
Nebraska,50,+8,,,50
Idaho,47,+5,,,47
Montana,45,+11,,,45
Alaska,32,+10,,,32
North Dakota,32,+2,,,32
South Dakota,28,+7,1,,21
Wyoming,26,+2,,,26
West Virginia,16,+4,,,16
Diamond Princess Cruise,49,,,,49
Grand Princess Cruise,30,,1,,29
